chart,d,end_date,incumbent,moe,name,observations,partisan,pollster,r,start_date,state,subpopulation,spread,poll_date,age_days
2014-national-house-race,42,2014-10-30 00:00:00,I,4.1,2014 National House Race,802.0,Nonpartisan/None,HuffPost/YouGov,46.0,2014-10-28 00:00:00,US,Likely Voters,4.0,2014-10-29 00:00:00,4.0
2014-national-house-race,45,2014-11-01 00:00:00,I,3.4,2014 National House Race,826.0,Nonpartisan/None,NBC/WSJ,46.0,2014-10-30 00:00:00,US,Likely Voters,1.0,2014-10-31 00:00:00,2.0
2014-national-house-race,42,2014-10-27 00:00:00,I,4.0,2014 National House Race,624.0,Nonpartisan/None,CBS,50.0,2014-10-23 00:00:00,US,Likely Voters,8.0,2014-10-25 00:00:00,8.0
2014-national-house-race,45,2014-10-27 00:00:00,I,3.5,2014 National House Race,734.0,Nonpartisan/None,FOX,44.0,2014-10-25 00:00:00,US,Likely Voters,-1.0,2014-10-26 00:00:00,7.0
2014-national-house-race,47,2014-10-26 00:00:00,I,4.0,2014 National House Race,540.0,Nonpartisan/None,CNN,46.0,2014-10-24 00:00:00,US,Likely Voters,-1.0,2014-10-25 00:00:00,8.0
2014-national-house-race,43,2014-10-26 00:00:00,I,4.3,2014 National House Race,697.0,Nonpartisan/None,USA Today/PSRAI,42.0,2014-10-23 00:00:00,US,Likely Voters,-1.0,2014-10-24 12:00:00,8.5
2014-national-house-race,44,2014-10-26 00:00:00,I,4.0,2014 National House Race,758.0,Nonpartisan/None,ABC/Post,50.0,2014-10-23 00:00:00,US,Likely Voters,6.0,2014-10-24 12:00:00,8.5
2014-national-house-race,41,2014-10-26 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,43.0,2014-10-20 00:00:00,US,Likely Voters,2.0,2014-10-23 00:00:00,10.0
2014-national-house-race,41,2014-10-23 00:00:00,I,4.1,2014 National House Race,823.0,Nonpartisan/None,NBC/WSJ/Annenberg,52.0,2014-10-17 00:00:00,US,Likely Voters,11.0,2014-10-20 00:00:00,13.0
2014-national-house-race,46,2014-10-21 00:00:00,I,-3.0,2014 National House Race,698.0,Pollster/Dem,Democracy Corps (D),46.0,2014-10-16 00:00:00,US,Likely Voters,0.0,2014-10-18 12:00:00,14.5
2014-national-house-race,32,2014-10-20 00:00:00,I,,2014 National House Race,968.0,Nonpartisan/None,AP-GfK (Web),40.0,2014-10-16 00:00:00,US,Likely Voters,8.0,2014-10-18 00:00:00,15.0
2014-national-house-race,47,2014-10-20 00:00:00,I,3.4,2014 National House Race,1126.0,Nonpartisan/None,Pew,46.0,2014-10-15 00:00:00,US,Likely Voters,-1.0,2014-10-17 12:00:00,15.5
2014-national-house-race,41,2014-10-20 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,41.0,2014-10-14 00:00:00,US,Likely Voters,0.0,2014-10-17 00:00:00,16.0
2014-national-house-race,44,2014-10-16 00:00:00,I,5.42,2014 National House Race,484.0,Nonpartisan/None,NBC/WSJ/Annenberg,49.0,2014-10-10 00:00:00,US,Likely Voters,5.0,2014-10-13 00:00:00,20.0
2014-national-house-race,42,2014-10-14 00:00:00,I,3.0,2014 National House Race,831.0,Nonpartisan/None,FOX,45.0,2014-10-12 00:00:00,US,Likely Voters,3.0,2014-10-13 00:00:00,20.0
2014-national-house-race,43,2014-10-12 00:00:00,I,,2014 National House Race,,Nonpartisan/None,ABC/Post,50.0,2014-10-09 00:00:00,US,Likely Voters,7.0,2014-10-10 12:00:00,22.5
2014-national-house-race,47,2014-10-12 00:00:00,I,3.8,2014 National House Race,666.0,Nonpartisan/None,NBC/WSJ,48.0,2014-10-08 00:00:00,US,Likely Voters,1.0,2014-10-10 00:00:00,23.0
2014-national-house-race,40,2014-10-12 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,40.0,2014-10-06 00:00:00,US,Likely Voters,0.0,2014-10-09 00:00:00,24.0
2014-national-house-race,48,2014-10-09 00:00:00,I,3.42,2014 National House Race,1181.0,Nonpartisan/None,NBC/WSJ/Annenberg,43.0,2014-10-03 00:00:00,US,Registered Voters,-5.0,2014-10-06 00:00:00,27.0
2014-national-house-race,43,2014-10-06 00:00:00,I,4.0,2014 National House Race,575.0,Nonpartisan/None,CBS,49.0,2014-10-03 00:00:00,US,Likely Voters,6.0,2014-10-04 12:00:00,28.5
2014-national-house-race,43,2014-10-07 00:00:00,I,,2014 National House Race,623.0,Nonpartisan/None,Ipsos/Reuters,42.0,2014-10-03 00:00:00,US,Likely Voters,-1.0,2014-10-05 00:00:00,28.0
